Nekkundi Dommasandra,Anekal,1295
Neralur,Anekal,5608
Neriga,Anekal,1351
Nosenur,Anekal,1165
Nosenur Gollahalli,Anekal,515
Panditana Agrahara,Anekal,824
Patnagere Gollahalli,Anekal,232
Rachamanahalli,Anekal,773
Ragihalli,Anekal,1655
Rajapura,Anekal,912
Ramakrishnapura,Anekal,339
Ramasagara,Anekal,2199
Ramasandra,Anekal,343
Ramnaikanahalli,Anekal,418
Rayasandra,Anekal,2338
S.Bingipura,Anekal,1851
S.Medihalli,Anekal,797
Sakalawara,Anekal,827
Samanahalli,Anekal,566
Samandur,Anekal,2501
Seeganaikanahalli,Anekal,55
Seethanaikana Halli,Anekal,337
Shivanahalli,Anekal,1380
Sidihosakote,Anekal,1591
Singasandra,Anekal,434
Singena Agrahara,Anekal,1513
Sollepura,Anekal,678
Solur,Anekal,496
Sompura,Anekal,1160
Sonnanayakanapura,Anekal,1240
Soppahalli,Anekal,489
Sriramapura,Anekal,1162
Submangala,Anekal,849
Sunavara,Anekal,1133
Suragajakkanahalli,Anekal,1311
Telagarahalli,Anekal,756
Thammanaikanahalli,Anekal,2527
Thattanahalli,Anekal,923
Thigala Chowdadenahalli,Anekal,3532
Thimmasandra,Anekal,194
Thindlu,Anekal,1079
Thirumagondanahalli,Anekal,2107
Thirupalya,Anekal,14762
Tyayakana Halli,Anekal,1142
Vabasandra,Anekal,733
Vaddara Palya,Anekal,4686
Vaderahalli,Anekal,57
Vaderamanchanahalli,Anekal,2599
Vanakanahalli,Anekal,1374
Veerasandra,Anekal,9190
Volagerekallahalli,Anekal,1118
Yadavanahalli,Anekal,6422
Yamare,Anekal,2184
Yarandahalli,Anekal,5732
BBMP Municipal Corporation,Karnataka,23723
Chikkabanavara Census Town,Karnataka,14409
Hunasamaranahalli Census Town,Karnataka,13389
Madanaiyakanahalli Census Town,Karnataka,12563
Chikkabidarakallu Census Town,Karnataka,11554
Kadigenahalli Census Town,Karnataka,6587
Adakamaranahalli,Bangalore North,4137
Adde Vishwanathapura,Bangalore North,1762
Adiganahalli,Bangalore North,2141
Agrahara Palya,Bangalore North,225
Alur,Bangalore North,1962
Arakere,Bangalore North,772
Arebinnamangala,Bangalore North,720
Avalahalli,Bangalore North,2283
Avverahalli,Bangalore North,415
Bagalur,Bangalore North,10320
Bandi Kodige Halli,Bangalore North,1305
Bandi Kodigehalli Palya,Bangalore North,548
Begur,Bangalore North,434
